[ikvasilev@sms results]$ cat all_experiments_h1.csv
Experiment,Recipient_Size,Donor_R,Donor_Size,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
EXP3_HYBRID,10000,30.0000,11739,0.010331,0.257000,0.019203,0.014053,0.096000,0.024198
EXP3_HYBRID,10000,28.1000,22173,0.009893,0.119000,0.022143,0.021717,0.052000,0.026352
EXP3_HYBRID,10000,30.0000,9130,0.009284,0.220000,0.017415,0.013617,0.089000,0.022437
EXP3_HYBRID,10000,28.1000,26086,0.010070,0.129000,0.021549,0.021882,0.049000,0.026447
EXP3_HYBRID,10000,28.1000,23478,0.010077,0.123000,0.021120,0.014565,0.042000,0.025086
EXP3_HYBRID,10000,28.1000,28695,0.010008,0.120000,0.022571,0.013703,0.043000,0.024973
EXP3_HYBRID,10000,28.1000,27391,0.011592,0.113000,0.022176,0.014894,0.039000,0.024969
EXP3_HYBRID,10000,30.0000,13043,0.010611,0.238000,0.020434,0.012966,0.099000,0.023991
EXP3_HYBRID,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,30.0000,15652,0.012459,0.227000,0.022633,0.015528,0.095000,0.026827
EXP3_HYBRID,10000,31.0000,1304,0.008779,0.244000,0.017059,0.044518,0.097000,0.026250
EXP3_HYBRID,10000,31.0000,2608,0.008255,0.253000,0.016409,0.042515,0.105000,0.023357
EXP3_HYBRID,10000,28.1000,30000,0.010800,0.110000,0.022830,0.013248,0.042000,0.024756
EXP3_HYBRID,10000,30.0000,16956,0.011959,0.239000,0.022769,0.015345,0.092000,0.027235
EXP3_HYBRID,10000,30.0000,18260,0.013277,0.216000,0.024278,0.016989,0.083000,0.028391
EXP3_HYBRID,10000,31.0000,3913,0.008053,0.282000,0.015215,0.013773,0.107000,0.021799
EXP3_HYBRID,10000,30.0000,14347,0.011834,0.236000,0.022724,0.015443,0.092000,0.026185
EXP3_HYBRID,10000,31.0000,5217,0.008267,0.290000,0.016068,0.011952,0.109000,0.019792
EXP3_HYBRID,10000,30.0000,19565,0.015463,0.219000,0.026479,0.017095,0.091000,0.029718
EXP3_HYBRID,10000,31.0000,6521,0.008811,0.288000,0.016249,0.012532,0.108000,0.020834
EXP3_HYBRID,10000,31.0000,7826,0.009228,0.318000,0.015811,0.012179,0.122000,0.019549
EXP3_HYBRID,10000,30.0000,20869,0.014367,0.219000,0.025868,0.015601,0.101000,0.028133
EXP3_HYBRID,10000,30.0000,22173,0.014589,0.211000,0.027316,0.016920,0.089000,0.031004
EXP3_HYBRID,10000,31.0000,9130,0.009702,0.326000,0.016035,0.012621,0.124000,0.020205
EXP3_HYBRID,10000,30.0000,23478,0.016032,0.202000,0.028334,0.018245,0.084000,0.030974
EXP3_HYBRID,10000,31.0000,10434,0.010027,0.316000,0.018137,0.013103,0.119000,0.021509
EXP3_HYBRID,10000,31.0000,11739,0.010090,0.320000,0.018305,0.014140,0.120000,0.022238
EXP3_HYBRID,10000,30.0000,24782,0.016522,0.208000,0.029144,0.019239,0.093000,0.032232
EXP3_HYBRID,10000,31.0000,13043,0.012201,0.298000,0.020694,0.015349,0.111000,0.024136
EXP3_HYBRID,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,31.0000,14347,0.011969,0.310000,0.022420,0.015326,0.124000,0.025554
EXP3_HYBRID,10000,30.0000,26086,0.016909,0.211000,0.028839,0.018662,0.085000,0.031879
EXP3_HYBRID,10000,32.0000,1304,0.011094,0.252000,0.018079,0.031391,0.112000,0.022961
EXP3_HYBRID,10000,31.0000,15652,0.011858,0.331000,0.022228,0.016525,0.134000,0.026016
EXP3_HYBRID,10000,32.0000,2608,0.010284,0.274000,0.017773,0.015011,0.108000,0.022261
EXP3_HYBRID,10000,31.0000,16956,0.013454,0.313000,0.023735,0.015511,0.132000,0.026462
EXP3_HYBRID,10000,32.0000,3913,0.009124,0.285000,0.018452,0.012145,0.112000,0.022099
EXP3_HYBRID,10000,30.0000,27391,0.016304,0.204000,0.031277,0.017979,0.087000,0.033821
EXP3_HYBRID,10000,31.0000,18260,0.014174,0.303000,0.024911,0.015351,0.128000,0.026745
EXP3_HYBRID,10000,32.0000,5217,0.007937,0.279000,0.016450,0.014567,0.118000,0.023559
EXP3_HYBRID,10000,30.0000,28695,0.016229,0.216000,0.033091,0.018816,0.089000,0.036124
EXP3_HYBRID,10000,31.0000,19565,0.015094,0.305000,0.025924,0.016052,0.127000,0.027929
EXP3_HYBRID,10000,30.0000,30000,0.017102,0.189000,0.034236,0.017777,0.083000,0.035561
EXP3_HYBRID,10000,31.0000,22173,0.017035,0.285000,0.029240,0.018694,0.114000,0.031063
EXP3_HYBRID,10000,32.0000,6521,0.008817,0.302000,0.017090,0.015279,0.101000,0.022527
EXP3_HYBRID,10000,31.0000,20869,0.015626,0.293000,0.027365,0.017883,0.112000,0.029823
EXP3_HYBRID,10000,31.0000,23478,0.017496,0.295000,0.029324,0.018437,0.125000,0.030790
EXP3_HYBRID,10000,32.0000,7826,0.010211,0.294000,0.019419,0.013175,0.102000,0.023389
EXP3_HYBRID,10000,32.0000,9130,0.009547,0.330000,0.018612,0.012851,0.119000,0.022773
EXP3_HYBRID,10000,32.0000,11739,0.010953,0.344000,0.021666,0.014118,0.117000,0.023885
EXP3_HYBRID,10000,31.0000,24782,0.017610,0.304000,0.030086,0.019602,0.132000,0.032567
EXP3_HYBRID,10000,32.0000,10434,0.009808,0.341000,0.019241,0.012574,0.118000,0.021545
EXP3_HYBRID,10000,32.0000,13043,0.010369,0.367000,0.020952,0.012373,0.123000,0.024048
EXP3_HYBRID,10000,31.0000,26086,0.018143,0.302000,0.031096,0.018958,0.145000,0.032096
EXP3_HYBRID,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,31.0000,27391,0.018142,0.295000,0.031676,0.019329,0.124000,0.033631
EXP3_HYBRID,10000,32.0000,14347,0.011620,0.374000,0.023083,0.014611,0.115000,0.027578
EXP3_HYBRID,10000,32.0000,15652,0.011475,0.377000,0.023174,0.014665,0.125000,0.027159
EXP3_HYBRID,10000,33.0000,1304,0.010432,0.245000,0.017994,0.013125,0.110000,0.022131
