[ikvasilev@sms results]$ cat all_experiments_h20.csv
Experiment,Recipient_Size,Donor_R,Donor_Size,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
EXP3_HYBRID,10000,None,0,0.058091,0.376000,0.090731,0.074004,0.165000,0.108165
EXP3_HYBRID,10000,28.0100,28695,0.198211,0.117000,0.307664,0.205166,0.036000,0.324046
EXP3_HYBRID,10000,28.1000,20869,0.092653,0.154000,0.107071,0.108916,0.069000,0.145181
EXP3_HYBRID,10000,30.0000,13043,0.139179,0.391000,0.192490,0.143904,0.123000,0.219825
EXP3_HYBRID,10000,32.0000,1304,0.062912,0.433000,0.099204,0.069644,0.186000,0.086713
EXP3_HYBRID,10000,28.0100,30000,0.199218,0.127000,0.299493,0.213266,0.040000,0.344555
EXP3_HYBRID,10000,32.0000,2608,0.084476,0.541000,0.100522,0.071602,0.210000,0.090074
EXP3_HYBRID,10000,28.1000,22173,0.115834,0.127000,0.134801,0.133092,0.048000,0.178772
EXP3_HYBRID,10000,32.0000,3913,0.101926,0.635000,0.113648,0.080783,0.274000,0.115259
EXP3_HYBRID,10000,30.0000,14347,0.145608,0.382000,0.241150,0.150870,0.138000,0.247512
EXP3_HYBRID,10000,28.1000,23478,0.100342,0.153000,0.124648,0.126999,0.061000,0.172842
EXP3_HYBRID,10000,30.0000,15652,0.148439,0.299000,0.235123,0.159880,0.087000,0.266736
EXP3_HYBRID,10000,30.0000,16956,0.142477,0.315000,0.223669,0.157381,0.110000,0.265301
EXP3_HYBRID,10000,32.0000,5217,0.111224,0.672000,0.211089,0.098472,0.359000,0.133016
EXP3_HYBRID,10000,28.1000,24782,0.115990,0.145000,0.140106,0.144660,0.044000,0.190226
EXP3_HYBRID,10000,32.0000,6521,0.116368,0.712000,0.169345,0.105981,0.422000,0.161451
EXP3_HYBRID,10000,30.0000,18260,0.152969,0.290000,0.253370,0.173129,0.106000,0.296543
EXP3_HYBRID,10000,28.1000,26086,0.132524,0.119000,0.153578,0.149814,0.052000,0.191460
EXP3_HYBRID,10000,32.0000,7826,0.156648,0.720000,0.265616,0.137066,0.433000,0.219952
EXP3_HYBRID,10000,30.0000,19565,0.156395,0.289000,0.265711,0.175932,0.110000,0.292762
EXP3_HYBRID,10000,28.1000,27391,0.113399,0.144000,0.126448,0.140467,0.051000,0.178259
EXP3_HYBRID,10000,28.1000,28695,0.131050,0.137000,0.154234,0.152173,0.053000,0.199673
EXP3_HYBRID,10000,32.0000,9130,0.138674,0.693000,0.229896,0.148003,0.411000,0.251727
EXP3_HYBRID,10000,None,0,0.058091,0.376000,0.090731,0.074004,0.165000,0.108165
EXP3_HYBRID,10000,30.0000,20869,0.163084,0.241000,0.264031,0.187550,0.078000,0.319056
EXP3_HYBRID,10000,32.0000,10434,0.138259,0.706000,0.206993,0.141211,0.432000,0.251900
EXP3_HYBRID,10000,30.0000,22173,0.159429,0.271000,0.243068,0.174249,0.096000,0.288901
EXP3_HYBRID,10000,33.0000,1304,0.060267,0.437000,0.091944,0.063908,0.190000,0.089842
EXP3_HYBRID,10000,28.1000,30000,0.130011,0.127000,0.147127,0.155116,0.049000,0.203966
EXP3_HYBRID,10000,33.0000,2608,0.079502,0.506000,0.096248,0.062884,0.215000,0.080922
EXP3_HYBRID,10000,32.0000,11739,0.155367,0.708000,0.272118,0.146853,0.428000,0.248306
EXP3_HYBRID,10000,31.0000,20869,0.203511,0.388000,0.361001,0.220106,0.109000,0.398554
EXP3_HYBRID,10000,33.0000,3913,0.107892,0.567000,0.121369,0.107922,0.245000,0.144195
EXP3_HYBRID,10000,32.0000,13043,0.165296,0.687000,0.301578,0.185755,0.386000,0.336625
EXP3_HYBRID,10000,31.0000,22173,0.223587,0.333000,0.402237,0.228867,0.115000,0.452844
EXP3_HYBRID,10000,30.0000,24782,0.165320,0.209000,0.269701,0.182647,0.069000,0.304628
EXP3_HYBRID,10000,32.0000,14347,0.190204,0.688000,0.327846,0.197637,0.345000,0.357392
EXP3_HYBRID,10000,30.0000,23478,0.150756,0.205000,0.242341,0.175198,0.058000,0.298066
EXP3_HYBRID,10000,33.0000,5217,0.104312,0.640000,0.133766,0.093037,0.285000,0.132213
EXP3_HYBRID,10000,31.0000,23478,0.215369,0.365000,0.399092,0.228591,0.118000,0.431350
EXP3_HYBRID,10000,32.0000,15652,0.176462,0.678000,0.299386,0.171465,0.370000,0.324264
EXP3_HYBRID,10000,30.0000,26086,0.169117,0.215000,0.283604,0.183589,0.068000,0.306854
EXP3_HYBRID,10000,33.0000,6521,0.100545,0.674000,0.128179,0.100395,0.355000,0.137494
EXP3_HYBRID,10000,31.0000,24782,0.215959,0.342000,0.390294,0.224115,0.101000,0.420550
EXP3_HYBRID,10000,30.0000,27391,0.166216,0.199000,0.283435,0.182465,0.068000,0.313491
EXP3_HYBRID,10000,33.0000,7826,0.130471,0.715000,0.185353,0.102235,0.377000,0.145202
EXP3_HYBRID,10000,None,0,0.058091,0.376000,0.090731,0.074004,0.165000,0.108165
EXP3_HYBRID,10000,32.0000,16956,0.184131,0.638000,0.320122,0.205521,0.332000,0.379587
EXP3_HYBRID,10000,31.0000,26086,0.222953,0.301000,0.407034,0.226584,0.104000,0.417272
EXP3_HYBRID,10000,35.0000,1304,0.045666,0.344000,0.076669,0.057386,0.169000,0.092253
EXP3_HYBRID,10000,30.0000,28695,0.158588,0.187000,0.279104,0.184409,0.060000,0.312978
EXP3_HYBRID,10000,33.0000,9130,0.162019,0.727000,0.238888,0.151414,0.446000,0.238854
EXP3_HYBRID,10000,31.0000,27391,0.228637,0.353000,0.426154,0.223609,0.121000,0.424993
EXP3_HYBRID,10000,32.0000,18260,0.177007,0.618000,0.324561,0.204498,0.292000,0.383339
EXP3_HYBRID,10000,35.0000,2608,0.062560,0.447000,0.094374,0.062922,0.194000,0.090964
EXP3_HYBRID,10000,35.0000,3913,0.056875,0.495000,0.071580,0.067618,0.209000,0.096338
EXP3_HYBRID,10000,33.0000,10434,0.171154,0.716000,0.307144,0.145853,0.450000,0.241659
EXP3_HYBRID,10000,32.0000,19565,0.205181,0.632000,0.372342,0.193768,0.340000,0.361024
EXP3_HYBRID,10000,31.0000,28695,0.216967,0.344000,0.411387,0.225896,0.110000,0.434458
EXP3_HYBRID,10000,35.0000,5217,0.059779,0.562000,0.073261,0.079850,0.211000,0.101037
EXP3_HYBRID,10000,33.0000,11739,0.160715,0.722000,0.273570,0.185501,0.462000,0.355591
EXP3_HYBRID,10000,32.0000,20869,0.216384,0.555000,0.414782,0.222038,0.234000,0.467581
EXP3_HYBRID,10000,35.0000,6521,0.083549,0.634000,0.087336,0.069776,0.251000,0.090675
EXP3_HYBRID,10000,31.0000,30000,0.225807,0.323000,0.443180,0.226673,0.112000,0.452331
EXP3_HYBRID,10000,33.0000,13043,0.200909,0.725000,0.330624,0.211126,0.426000,0.388107
EXP3_HYBRID,10000,32.0000,22173,0.222142,0.578000,0.425343,0.219388,0.230000,0.450843
EXP3_HYBRID,10000,32.0000,23478,0.225417,0.554000,0.469337,0.228492,0.203000,0.460809
EXP3_HYBRID,10000,35.0000,7826,0.091364,0.678000,0.116180,0.082169,0.316000,0.108885
EXP3_HYBRID,10000,33.0000,14347,0.171135,0.746000,0.304713,0.194461,0.482000,0.363240
EXP3_HYBRID,10000,None,0,0.058091,0.376000,0.090731,0.074004,0.165000,0.108165
EXP3_HYBRID,10000,35.0000,9130,0.121076,0.726000,0.171190,0.088800,0.372000,0.114826
EXP3_HYBRID,10000,36.0000,1304,0.079965,0.426000,0.084177,0.078558,0.194000,0.102371
EXP3_HYBRID,10000,32.0000,24782,0.214626,0.528000,0.412415,0.235790,0.160000,0.507757
EXP3_HYBRID,10000,36.0000,2608,0.090402,0.396000,0.097294,0.067958,0.176000,0.090741
EXP3_HYBRID,10000,35.0000,10434,0.125862,0.747000,0.210774,0.115305,0.423000,0.173949
EXP3_HYBRID,10000,33.0000,16956,0.211012,0.756000,0.365222,0.201410,0.462000,0.379245
EXP3_HYBRID,10000,33.0000,15652,0.234211,0.725000,0.509273,0.207536,0.461000,0.391399
EXP3_HYBRID,10000,36.0000,3913,0.075844,0.477000,0.083853,0.085465,0.201000,0.109626
EXP3_HYBRID,10000,32.0000,26086,0.228909,0.485000,0.467094,0.239305,0.138000,0.524825
EXP3_HYBRID,10000,35.0000,11739,0.153134,0.728000,0.264668,0.123052,0.443000,0.170460
EXP3_HYBRID,10000,32.0000,27391,0.228721,0.400000,0.498821,0.248729,0.130000,0.543327
EXP3_HYBRID,10000,35.0000,13043,0.129679,0.733000,0.205355,0.108591,0.425000,0.152780
EXP3_HYBRID,10000,33.0000,18260,0.202528,0.695000,0.365764,0.220603,0.406000,0.463493
EXP3_HYBRID,10000,36.0000,5217,0.076361,0.498000,0.104083,0.069208,0.193000,0.100003
EXP3_HYBRID,10000,33.0000,19565,0.206715,0.729000,0.425278,0.225908,0.348000,0.488069
EXP3_HYBRID,10000,35.0000,14347,0.172899,0.764000,0.331157,0.150239,0.500000,0.272164
EXP3_HYBRID,10000,32.0000,28695,0.245974,0.427000,0.511790,0.246057,0.127000,0.525583
EXP3_HYBRID,10000,33.0000,20869,0.225147,0.651000,0.459036,0.213109,0.321000,0.437849
EXP3_HYBRID,10000,36.0000,6521,0.102459,0.606000,0.136835,0.083153,0.254000,0.106026
EXP3_HYBRID,10000,35.0000,15652,0.196274,0.787000,0.365631,0.157457,0.490000,0.310772
EXP3_HYBRID,10000,32.0000,30000,0.253258,0.369000,0.529412,0.260311,0.124000,0.563893
EXP3_HYBRID,10000,35.0000,16956,0.188833,0.767000,0.358249,0.177605,0.532000,0.350907
EXP3_HYBRID,10000,36.0000,7826,0.083187,0.588000,0.128612,0.079564,0.245000,0.122022
EXP3_HYBRID,10000,36.0000,9130,0.115215,0.650000,0.140099,0.102098,0.305000,0.159303
EXP3_HYBRID,10000,36.0000,10434,0.110995,0.690000,0.161323,0.075117,0.342000,0.118250
EXP3_HYBRID,10000,35.0000,19565,0.197953,0.746000,0.352605,0.184049,0.481000,0.326267
EXP3_HYBRID,10000,36.0000,11739,0.144493,0.714000,0.222346,0.098192,0.365000,0.148156
EXP3_HYBRID,10000,35.0000,18260,0.214758,0.776000,0.459822,0.194436,0.498000,0.387963
EXP3_HYBRID,10000,36.0000,13043,0.144050,0.727000,0.228542,0.106205,0.430000,0.158050
EXP3_HYBRID,10000,35.0000,20869,0.231607,0.765000,0.547044,0.200125,0.472000,0.398162
EXP3_HYBRID,10000,36.0000,14347,0.150949,0.755000,0.234848,0.110583,0.400000,0.168382
EXP3_HYBRID,10000,35.0000,22173,0.220659,0.743000,0.483411,0.219365,0.468000,0.466587
EXP3_HYBRID,10000,36.0000,15652,0.138517,0.773000,0.236534,0.104020,0.458000,0.180400
EXP3_HYBRID,10000,36.0000,16956,0.159215,0.806000,0.275617,0.117685,0.430000,0.170861
EXP3_HYBRID,10000,35.0000,23478,0.243762,0.771000,0.565400,0.233702,0.393000,0.545178
EXP3_HYBRID,10000,35.0000,24782,0.235735,0.750000,0.600746,0.237745,0.413000,0.592263
EXP3_HYBRID,10000,38.0000,10434,0.077493,0.543000,0.124291,0.078178,0.225000,0.113642
EXP3_HYBRID,10000,38.0000,11739,0.083839,0.582000,0.132416,0.074730,0.248000,0.096105
EXP3_HYBRID,10000,36.0000,18260,0.195291,0.774000,0.303212,0.151395,0.540000,0.281916
EXP3_HYBRID,10000,35.0000,26086,0.229002,0.721000,0.522681,0.239103,0.373000,0.541565
EXP3_HYBRID,10000,38.0000,13043,0.094110,0.638000,0.124851,0.065519,0.303000,0.101345
EXP3_HYBRID,10000,36.0000,19565,0.201666,0.774000,0.358518,0.162078,0.527000,0.301610
EXP3_HYBRID,10000,35.0000,27391,0.240594,0.693000,0.549719,0.249210,0.373000,0.562825
EXP3_HYBRID,10000,38.0000,14347,0.109530,0.606000,0.148872,0.080864,0.296000,0.102220
